"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11"
"213" 0.658 0.658 0.3726 0.00437 1.0658 0.00383 74.756 6.56 0.098718212 1670.66 0.01428458
"214" 0.667 0.442 0.3824 0.004505 1.0667 0.00392 77.294 6.59 0.101385888 1728.59 0.01451217
"215" 0.676 0.226 0.3922 0.00464 1.0676 0.00401 79.832 6.62 0.104053564 1786.52 0.01473976
"216" 0.685 0.19 0.402 0.004775 1.0685 0.0041 82.37 6.65 0.10672124 1844.45 0.01496735
"217" 0.694 0.406 0.4118 0.00491 1.0694 0.00419 84.908 6.68 0.109388916 1902.38 0.01519494
"218" 0.703 0.622 0.4216 0.004955 1.0703 0.00428 85.754 6.71 0.112056592 1921.69 0.01542253
"219" 0.712 0.838 0.4314 0.00482 1.0712 0.00437 83.216 6.74 0.114724268 1863.76 0.01565012
"220" 0.721 0.946 0.4412 0.004685 1.0721 0.00446 80.678 6.77 0.117391944 1805.83 0.01587771
"221" 0.73 0.73 0.451 0.00455 1.073 0.00455 78.14 6.8 0.12005962 1747.9 0.0161053
"222" 0.739 0.514 0.4608 0.004415 1.0739 0.00464 75.602 6.83 0.122727296 1689.97 0.01633289
"223" 0.748 0.298 0.4706 0.00428 1.0748 0.00473 73.064 6.86 0.125394972 1632.04 0.01656048
"224" 0.757 0.118 0.4804 0.004145 1.0757 0.00482 70.526 6.89 0.128062648 1574.11 0.01678807
"225" 0.766 0.334 0.4902 0.00401 1.0766 0.00491 67.988 6.92 0.130730324 1516.18 0.01701566
"226" 0.775 0.550000000000001 0.5 0.003875 1.0775 0.005 65.45 6.95 0.133398 1458.25 0.01724325
